note_id,category,issue_summary,resolution
RES-001,Access Management,VPN authentication fails despite correct password,"Cleared cached VPN credentials in the client and had the user re-enter credentials. If issue persists, checked whether the user's account was locked after failed attempts and unlocked it in Active Directory."
RES-002,Access Management,VPN authenticates via MFA app but connection still refused,"Confirmed the VPN client's local time was synced correctly, since MFA tokens are time-sensitive. Re-registered the device in the MFA provider if drift was found."
RES-003,Access Management,User denied access to a shared drive they previously had access to,"Checked the user's group membership in Active Directory against the folder's permission group. Usually caused by the user being removed from a security group during an unrelated cleanup; re-added them to the correct group."
RES-004,Access Management,User locked out after password change,"Reset the password directly via the identity provider admin console and forced a re-sync across connected systems (email, VPN, internal apps) since changes sometimes propagate with delay."
RES-005,Hardware,Laptop won't power on despite charging light being active,"Performed a force restart by holding the power button 15-20 seconds. If unresponsive, tested with a different charger and outlet to rule out a faulty power delivery, then escalated to hardware replacement if still unresponsive."
RES-006,Hardware,Laptop displays blue screen error intermittently,"Checked Windows Event Viewer for the specific stop code. Most cases traced to a recently updated driver; rolled back the driver via Device Manager and monitored for recurrence."
RES-007,Hardware,Printer shows offline for entire floor,"Checked the printer's network connection status directly on its display panel. In most cases the printer had been assigned a new IP by DHCP; updated the print server's saved IP or set a DHCP reservation to prevent recurrence."
RES-008,Hardware,Computer became very slow after a Windows update,"Checked for a pending update stuck mid-installation using Windows Update history. Also checked disk usage, since updates can trigger background disk optimisation that temporarily slows the system for 24-48 hours."
RES-009,Hardware,External monitor flickers intermittently,"Reseated the display cable at both ends. If flickering continued, tested a different cable to rule out a damaged cable versus a faulty port, and updated graphics drivers."
RES-010,Software,Outlook crashes shortly after opening,"Started Outlook in Safe Mode to check if a faulty add-in was the cause. Disabled recently installed add-ins one at a time until the crash stopped, then reported the faulty add-in to the vendor."
RES-011,Software,Teams microphone not picked up by other participants,"Checked Windows sound settings to confirm the correct microphone was set as default input, and checked Teams' own device settings, since Teams sometimes caches an old device after hardware changes."
RES-012,Software,Excel blocks a macro-enabled workbook with a security warning,"Checked whether the file was flagged by Windows as coming from an untrusted source (right-click > Properties > Unblock). If from a trusted internal source, added the file's origin folder to Trusted Locations in Excel's Trust Center."
RES-013,Software,Application license shows as expired unexpectedly,"Checked the license management portal for expiration or seat limit issues. Frequently caused by a licensing server sync failure rather than an actual expiration; forced a manual re-sync from the client."
RES-014,Network,Wi-Fi disconnects every few minutes for multiple users nearby,"Checked access point logs for that area for channel congestion or hardware errors. Frequently resolved by moving affected clients to a less congested channel or restarting the specific access point."
RES-015,Network,VPN connects but internal applications run extremely slowly,"Checked whether split-tunnelling was correctly configured, since misconfigured VPN routing sometimes sends all traffic through the tunnel unnecessarily, adding significant latency."
RES-016,Network,Entire office loses internet connectivity at the same time,"Checked with the ISP for a known outage in the area first, since this pattern usually indicates an upstream issue rather than an internal network fault. If no ISP outage, checked the main router/firewall for a crash or failed failover."
RES-017,Email,User stops receiving new emails but can still send,"Checked mailbox storage quota, since a full mailbox commonly blocks incoming mail while still allowing outgoing. Also checked mail flow rules and spam quarantine for misrouted messages."
RES-018,Database,Internal reporting application cannot connect to the database,"Checked whether the database service itself was running and checked recent connection pool errors in application logs. Frequently caused by the connection pool being exhausted after a long-running query; restarted the affected service pool."
RES-019,Infrastructure,Departmental file server becomes unavailable for multiple users,"Checked server resource usage (CPU, disk, memory) for signs of exhaustion, and checked whether a scheduled backup job was still running and consuming available connections."
RES-020,Security,User reports a suspicious email asking to verify account credentials,"Confirmed the email was a phishing attempt by checking sender domain authenticity. Reported and blocked the sender domain organisation-wide, and confirmed the user had not entered credentials; forced a password reset as a precaution if unsure."
RES-021,User Provisioning,New starter needs AD account, email, and VPN access before their start date,"Used the standard new-starter provisioning checklist: created the AD account from the HR system record, assigned to correct security groups by department, provisioned mailbox, and enabled VPN access tied to their manager's approval."
RES-022,Software,Payroll application returns a specific error code when generating reports,"Checked the application's error code reference documentation first, since specific error codes usually map to a known cause (e.g. a locked report template or a timed-out data pull). Cross-referenced logs around the error timestamp."
RES-023,Software,Finance-critical payment processing application is down for all users,"Treated as highest priority given business impact. Checked application server health and recent deployments first, since outages immediately following a deployment are the most common cause; rolled back the most recent change if applicable."
